"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-16","11.18",",,W","0.06",",,X,2400","1.2",",,X",,,,,"34",",,X","10",",,X",,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-17","10.96",",,W","0.09",",,X,2400","0.2",",,X",,,,,"48",",,X","33",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X","    1",",,X",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-18","20.58",",,W","0.00",",,X,2400","0.0",",,X",,,,,"52",",,X","21",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-19","8.72",",,W","0.01",",,X,2400","0.3",",,X",,,,,"33",",,X","17",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-20","10.96",",,W","0.05",",,X,2400","1.5",",,X",,,,,"32",",,X","22",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-21","10.51",",,W","0.18",",,X,2400","2.9",",,X",,,,,"23",",,X","16",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-22","7.38",",,W","0.00",",,X,2400","0.0",",,X",,,,,"30",",,X","15",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-23","4.70",",,W","0.20",",,X,2400","0.0","T,,X",,,,,"47",",,X","28",",,X","    1",",,X","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-24","11.41",",,W","0.01",",,X,2400","0.0",",,X",,,,,"56",",,X","42",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-25","12.53",",,W","0.00",",,X,2400","0.0",",,X",,,,,"43",",,X","36",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-26","8.05",",,W","0.17",",,X,2400","0.2",",,X",,,,,"41",",,X","31",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-27","10.51",",,W","0.89",",,X,2400","0.0",",,X",,,,,"46",",,X","37",",,X",,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-28","12.53",",,W","0.00",",,X,2400","0.0",",,X",,,,,"46",",,X","38",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-29","14.76",",,W","0.00",",,X,2400","0.0",",,X",,,,,"43",",,X","34",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-30","13.65",",,W","0.00","T,,X,2400","0.0","T,,X",,,,,"40",",,X","31",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-01-31","5.82",",,W","0.00",",,X,2400","0.0",",,X",,,,,"47",",,X","30",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-02-01","8.05",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"59",",,X","35",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
